Service,Asia Pacific (Malaysia) - ap-southeast-5,Africa (Cape Town) - af-south-1,Asia Pacific (Hong Kong) - ap-east-1,Asia Pacific (Tokyo) - ap-northeast-1,Asia Pacific (Seoul) - ap-northeast-2,Asia Pacific (Osaka) - ap-northeast-3,Asia Pacific (Mumbai) - ap-south-1,Asia Pacific (Hyderabad) - ap-south-2,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,Asia Pacific (Jakarta) - ap-southeast-3,Asia Pacific (Melbourne) - ap-southeast-4,Canada (Central) - ca-central-1,Canada West (Calgary) - ca-west-1,China (Beijing) - cn-north-1,China (Ningxia) - cn-northwest-1,Europe (Frankfurt) - eu-central-1,Europe (Zurich) - eu-central-2,Europe (Stockholm) - eu-north-1,Europe (Milan) - eu-south-1,Europe (Spain) - eu-south-2,Europe (Ireland) - eu-west-1,Europe (London) - eu-west-2,Europe (Paris) - eu-west-3,Israel (Tel Aviv) - il-central-1,Middle East (UAE) - me-central-1,Middle East (Bahrain) - me-south-1,South America (São Paulo) - sa-east-1,US East (N. Virginia) - us-east-1,US East (Ohio) - us-east-2,US West (N. California) - us-west-1,US West (Oregon) - us-west-2
eks-auth,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
elastic-inference,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
elasticache,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
elasticbeanstalk,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
elastictranscoder,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True
elb,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
elbv2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
emr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
emr-containers,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
emr-serverless,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True
es,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
events,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
evidently,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True
finspace,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
finspace-data,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
firehose,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
fms,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
forecast,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
forecastquery,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
frauddetector,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
fsx,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
gamelift,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
glacier,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
glue,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
