InstanceType,Asia Pacific (Malaysia) - ap-southeast-5,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,US East (N. Virginia) - us-east-1,Asia Pacific (Tokyo) - ap-northeast-1
m6id.16xlarge,145583.0,754902.0,124514.0,316716.0,327672.0
m6id.24xlarge,1121819.0,186273.0,70718.0,56276.0,491508.0
m6id.2xlarge,93485.0,40752.0,94404.0,39589.0,40959.0
m6id.32xlarge,291167.0,305213.0,305877.0,286620.0,251684.0
m6id.4xlarge,79747.0,81503.0,11786.0,186401.0,81918.0
m6id.8xlarge,159495.0,163006.0,62257.0,158358.0,77133.0
m6id.large,16276.0,16495.0,5668.0,1172.0,5709.0
m6id.metal,637979.0,652025.0,249028.0,1491211.0,1513124.0
m6id.xlarge,46742.0,47181.0,2947.0,46600.0,20480.0
m7g.12xlarge,-,-,-,-,-
m7g.16xlarge,-,-,-,-,-
m7g.2xlarge,-,-,-,-,-
m7g.4xlarge,-,-,-,-,-
m7g.8xlarge,-,-,-,-,-
m7g.large,-,-,-,-,-
m7g.medium,-,-,-,-,-
m7g.metal,-,-,-,-,-
m7g.xlarge,-,-,-,-,-
m7gd.12xlarge,-,-,-,-,-
m7gd.16xlarge,-,-,-,-,-
m7gd.2xlarge,-,-,-,-,-
m7gd.4xlarge,-,-,-,-,-
m7gd.8xlarge,-,-,-,-,-
m7gd.large,-,-,-,-,-
m7gd.medium,-,-,-,-,-
m7gd.metal,-,-,-,-,-
m7gd.xlarge,-,-,-,-,-
m7i.12xlarge,236068.0,89401.0,562441.0,83126.0,111715.0
m7i.16xlarge,141351.0,119202.0,119202.0,139259.0,120529.0
m7i.24xlarge,169390.0,221439.0,1124883.0,166253.0,180794.0
m7i.2xlarge,39345.0,18453.0,18453.0,92694.0,93906.0
m7i.48xlarge,2230940.0,357605.0,442878.0,2224665.0,446861.0
m7i.4xlarge,78689.0,36907.0,187480.0,34815.0,187812.0
m7i.8xlarge,371823.0,73813.0,374961.0,370778.0,161180.0
m7i.large,16143.0,16339.0,16339.0,16078.0,3767.0
m7i.metal-24xl,472136.0,481548.0,178803.0,1112333.0,1126874.0
m7i.metal-48xl,338780.0,442878.0,2249765.0,2224665.0,446861.0
m7i.xlarge,46478.0,9227.0,7450.0,6927.0,46953.0
r6g.12xlarge,-,-,-,-,-
r6g.16xlarge,-,-,-,-,-
r6g.2xlarge,-,-,-,-,-
r6g.4xlarge,-,-,-,-,-
r6g.8xlarge,-,-,-,-,-
r6g.large,-,-,-,-,-
r6g.medium,-,-,-,-,-
r6g.metal,-,-,-,-,-
r6g.xlarge,-,-,-,-,-
r6i.12xlarge,241571.0,568915.0,568729.0,89401.0,117194.0
r6i.16xlarge,148689.0,758554.0,127585.0,41833.0,758554.0
r6i.24xlarge,223033.0,234388.0,1137457.0,62750.0,191751.0
r6i.2xlarge,15033.0,6308.0,94788.0,93740.0,19532.0
r6i.32xlarge,240528.0,100931.0,658831.0,83667.0,255668.0
r6i.4xlarge,80524.0,39065.0,189576.0,80258.0,39065.0
r6i.8xlarge,161047.0,379277.0,78005.0,20917.0,25233.0
r6i.large,3758.0,16609.0,5764.0,5502.0,16609.0
r6i.metal,240528.0,100931.0,1516610.0,83667.0,255668.0
r6i.xlarge,20131.0,3154.0,3139.0,46870.0,20604.0
r6id.12xlarge,246226.0,122672.0,572330.0,566935.0,574394.0
r6id.16xlarge,126471.0,57770.0,55019.0,755914.0,135138.0
r6id.24xlarge,492452.0,1148787.0,198581.0,490536.0,86655.0
r6id.2xlarge,41038.0,16892.0,16548.0,40878.0,95732.0
r6id.32xlarge,656603.0,1531716.0,668435.0,95651.0,115540.0
r6id.4xlarge,82075.0,14442.0,13755.0,31298.0,191465.0
r6id.8xlarge,378596.0,81781.0,80406.0,23913.0,382929.0
r6id.large,3952.0,6000.0,5914.0,1495.0,6000.0
r6id.metal,309791.0,115540.0,668435.0,307236.0,1531716.0
r6id.xlarge,7904.0,3611.0,3439.0,7825.0,21061.0
r7g.12xlarge,-,-,-,-,-
r7g.16xlarge,-,-,-,-,-
r7g.2xlarge,-,-,-,-,-
r7g.4xlarge,-,-,-,-,-
r7g.8xlarge,-,-,-,-,-
r7g.large,-,-,-,-,-
r7g.medium,-,-,-,-,-
r7g.metal,-,-,-,-,-
r7g.xlarge,-,-,-,-,-
r7gd.12xlarge,-,-,-,-,-
r7gd.16xlarge,-,-,-,-,-
r7gd.2xlarge,-,-,-,-,-
r7gd.4xlarge,-,-,-,-,-
r7gd.8xlarge,-,-,-,-,-
r7gd.large,-,-,-,-,-
r7gd.medium,-,-,-,-,-
r7gd.xlarge,-,-,-,-,-
r7i.12xlarge,91807.0,570808.0,248945.0,564010.0,97768.0
r7i.16xlarge,324239.0,761077.0,130096.0,149718.0,761077.0
r7i.24xlarge,486359.0,238173.0,1141225.0,224577.0,1141616.0
r7i.2xlarge,18854.0,19848.0,16262.0,94002.0,95135.0
r7i.48xlarge,972718.0,2283232.0,390289.0,449153.0,476345.0
r7i.4xlarge,30602.0,190269.0,190204.0,30323.0,39695.0
r7i.8xlarge,376564.0,79391.0,380408.0,161562.0,65179.0
r7i.large,5602.0,16688.0,4066.0,3790.0,4074.0
r7i.metal-24xl,226250.0,195536.0,497890.0,224577.0,195536.0
r7i.metal-48xl,452500.0,996563.0,995780.0,2256040.0,996563.0
